method,duration,bias,error,relArea,cost,tau_p,tau_v
KDE,1,-1724351.211,-0.9161,0.083910323,0.583608627,86164.091,3600
KDE,1,-1585627.618,-0.8424,0.157624193,0.303269148,86164.091,3600
KDE,1,-1721716.028,-0.9147,0.08525002,0.143058538,86164.091,3600
KDE,1,-1754279.368,-0.932,0.067983999,0.346592426,86164.091,3600
KDE,1,-1702893.288,-0.9047,0.095267671,0.30758214,86164.091,3600
KDE,1,-1405493.996,-0.7467,0.253325659,0.327889919,86164.091,3600
KDE,1,-1774796.155,-0.9429,0.057050123,0.120503187,86164.091,3600
KDE,1,-1693293.69,-0.8996,0.100410121,0.342517614,86164.091,3600
KDE,1,-1673153.359,-0.8889,0.111056134,0.12001729,86164.091,3600
KDE,1,-1604450.358,-0.8524,0.147637568,0.120445251,86164.091,3600
KDE,1,-1665436.035,-0.8848,0.115193401,0.324120045,86164.091,3600
KDE,1,-1611791.226,-0.8563,0.143688412,0.336792946,86164.091,3600
KDE,1,-1566240.195,-0.8321,0.167912659,0.306435347,86164.091,3600
KDE,1,-1476079.271,-0.7842,0.215829501,0.304120064,86164.091,3600
KDE,1,-1676164.997,-0.8905,0.109535725,0.319273949,86164.091,3600
KDE,1,-1731692.08,-0.92,0.079995574,0.320725679,86164.091,3600
KDE,1,-1725668.803,-0.9168,0.083246091,0.32400775,86164.091,3600
KDE,1,-1657718.712,-0.8807,0.119292774,0.12381959,86164.091,3600
KDE,1,-1755973.415,-0.9329,0.067146544,0.303058386,86164.091,3600
KDE,1,-1666377.172,-0.8853,0.114669135,0.119183064,86164.091,3600
KDE,1,-1703646.197,-0.9051,0.094928168,0.307660341,86164.091,3600
KDE,1,-1556828.825,-0.8271,0.172921846,0.124367476,86164.091,3600
KDE,1,-1282016.821,-0.6811,0.318929461,0.324178934,86164.091,3600
KDE,1,-1410764.363,-0.7495,0.25047486,0.303373098,86164.091,3600
KDE,1,-1727174.622,-0.9176,0.082361638,0.330089092,86164.091,3600
KDE,1,-1606332.632,-0.8534,0.146580021,0.325701475,86164.091,3600
KDE,1,-1613108.818,-0.857,0.143017924,0.30472374,86164.091,3600
KDE,1,-1731503.853,-0.9199,0.080060447,0.124721766,86164.091,3600
KDE,1,-1739785.858,-0.9243,0.075692645,0.351032019,86164.091,3600
KDE,1,-1703269.743,-0.9049,0.095108159,0.127993822,86164.091,3600
KDE,1,-1573204.609,-0.8358,0.164230242,0.143650532,86164.091,3600
KDE,1,-1427704.829,-0.7585,0.241499071,0.334002733,86164.091,3600
KDE,1,-1630049.284,-0.866,0.133965083,0.114990234,86164.091,3600
KDE,1,-1521630.302,-0.8084,0.191600695,0.318381548,86164.091,3600
KDE,1,-1729621.579,-0.9189,0.081067843,0.153991461,86164.091,3600
KDE,1,-1704399.107,-0.9055,0.094525974,0.117679119,86164.091,3600
KDE,1,-1682188.274,-0.8937,0.106342006,0.32175684,86164.091,3600
KDE,1,-1346390.592,-0.7153,0.284729809,0.326649427,86164.091,3600
KDE,1,-1746562.045,-0.9279,0.072109959,0.120282173,86164.091,3600
KDE,1,-1541017.724,-0.8187,0.181341861,0.131500959,86164.091,3600
KDE,1,-1632119.785,-0.8671,0.132905943,0.118175268,86164.091,3600
KDE,1,-1420552.188,-0.7547,0.245272731,0.319260359,86164.091,3600
KDE,1,-1668071.219,-0.8862,0.113777748,0.304594517,86164.091,3600
KDE,1,-1604638.585,-0.8525,0.147547583,0.120257139,86164.091,3600
KDE,1,-1662236.169,-0.8831,0.116857575,0.314907312,86164.091,3600
KDE,1,-1714563.387,-0.9109,0.089078453,0.317063808,86164.091,3600
KDE,1,-1643036.975,-0.8729,0.127116074,0.302114248,86164.091,3600
KDE,1,-1614238.182,-0.8576,0.142425845,0.123475313,86164.091,3600
KDE,1,-1691976.099,-0.8989,0.101072324,0.327223063,86164.091,3600
KDE,1,-1737715.357,-0.9232,0.076847818,0.120183706,86164.091,3600
KDE,1,-1535935.584,-0.816,0.183973161,0.305221081,86164.091,3600
KDE,1,-1743550.406,-0.9263,0.073681224,0.32412076,86164.091,3600
KDE,1,-1570569.426,-0.8344,0.1655907,0.3219347,86164.091,3600
KDE,1,-1465726.764,-0.7787,0.22125414,0.330982924,86164.091,3600
KDE,1,-1715316.296,-0.9113,0.088701584,0.301661491,86164.091,3600
KDE,1,-1481537.865,-0.7871,0.212949251,0.332911968,86164.091,3600
KDE,1,-1786654.481,-0.9492,0.0507672,0.332292795,86164.091,3600
KDE,1,-1562287.42,-0.83,0.170032307,0.318668127,86164.091,3600
KDE,1,-1551182.003,-0.8241,0.175914033,0.115833044,86164.091,3600
KDE,1,-1816206.183,-0.9649,0.035050113,0.121687174,86164.091,3600
KDE,1,-1650942.525,-0.8771,0.122905459,0.309293032,86164.091,3600
KDE,1,-1538382.54,-0.8173,0.182744349,0.138054609,86164.091,3600
KDE,1,-1718892.617,-0.9132,0.086808817,0.336394548,86164.091,3600
KDE,1,-1499419.468,-0.7966,0.20335038,0.316176414,86164.091,3600
KDE,1,-1588074.574,-0.8437,0.156297635,0.118213415,86164.091,3600
KDE,1,-1624778.917,-0.8632,0.136750622,0.125365734,86164.091,3600
KDE,1,-1629108.147,-0.8655,0.134474661,0.124667883,86164.091,3600
KDE,1,-1675976.77,-0.8904,0.109592529,0.117453814,86164.091,3600
KDE,1,-1736397.765,-0.9225,0.07748589,0.121694326,86164.091,3600
